step,DDP_ratio,DES_LOC_ratio,Local_Adam_ratio,FAVG_OPT_ratio,Neuron_SP_ratio
10.0,1.000000,0.939218,0.672977,1.163531,0.948921
20.0,1.000000,0.939218,0.672977,1.163531,0.936887
30.0,1.000000,0.928581,0.665355,1.147816,0.933540
40.0,1.000000,0.894802,0.641152,1.097914,0.888065
50.0,1.000000,0.863394,0.618647,1.051514,0.847769
60.0,1.000000,0.859950,0.678578,1.032760,0.836616
70.0,1.000000,0.868008,0.774912,1.024830,0.838360
80.0,1.000000,0.876220,0.873070,1.016751,0.842855
90.0,1.000000,0.884588,0.881408,1.020118,0.849845
100.0,1.000000,0.893117,0.889907,1.023548,0.851208
110.0,1.000000,0.901813,0.898571,1.027517,0.852666
120.0,1.000000,0.910680,0.907406,1.032670,0.852396
130.0,1.000000,0.919723,0.916416,1.037927,0.861493
140.0,1.000000,0.928946,0.907549,1.045631,0.864761
150.0,1.000000,0.938357,0.886344,1.055070,0.874336
160.0,1.000000,0.947961,0.864705,1.064701,0.877089
170.0,1.000000,0.957764,0.873646,0.988527,0.882028
180.0,1.000000,0.967770,0.882774,0.910761,0.883914
190.0,1.000000,0.977989,0.892095,0.852968,0.887556
200.0,1.000000,0.988425,0.901615,0.844914,0.893159
210.0,1.000000,0.999086,0.911340,0.836686,0.894092
220.0,1.000000,1.009981,0.957908,0.824792,0.898880
230.0,1.000000,1.021115,1.030192,0.810284,0.901599
240.0,1.000000,1.032498,1.104089,0.795453,0.911779
250.0,1.000000,1.042945,1.116534,0.794290,0.914710
260.0,1.000000,1.053630,1.129264,0.793101,0.924062
270.0,1.000000,1.063832,1.142288,0.794103,0.926594
280.0,1.000000,1.072543,1.155615,0.800366,0.942180
290.0,1.000000,1.081460,1.169257,0.806777,0.946434
300.0,1.000000,1.093258,1.150964,0.812406,0.954916
310.0,1.000000,1.107141,1.110459,0.817541,0.951784
320.0,1.000000,1.121361,1.068961,0.822801,0.960752
330.0,1.000000,1.120771,1.067228,0.783660,0.953773
340.0,1.000000,1.120181,1.065504,0.744739,0.948783
350.0,1.000000,1.120368,1.063458,0.728602,0.939670
360.0,1.000000,1.122346,1.060651,0.765066,0.931805
370.0,1.000000,1.124314,1.057859,0.801339,0.925982
380.0,1.000000,1.126551,1.057479,0.829703,0.920617
390.0,1.000000,1.128967,1.058698,0.852836,0.916078
400.0,1.000000,1.131377,1.059912,0.875912,0.913439
410.0,1.000000,1.130704,1.061633,0.881659,0.917425
420.0,1.000000,1.129693,1.063397,0.885461,0.915648
430.0,1.000000,1.129209,1.065004,0.874652,0.908046
440.0,1.000000,1.129935,1.066264,0.829799,0.895454
450.0,1.000000,1.130662,1.067524,0.784948,0.889929
460.0,1.000000,1.126888,1.065695,0.764250,0.884255
470.0,1.000000,1.120177,1.061844,0.759699,0.877075
480.0,1.000000,1.113545,1.058038,0.755201,0.866239
490.0,1.000000,1.116846,1.055705,0.756850,0.864053
500.0,1.000000,1.121264,1.053523,0.759187,0.864097
510.0,1.000000,1.125445,1.053032,0.761742,0.862314
520.0,1.000000,1.129046,1.056512,0.764794,0.865431
530.0,1.000000,1.132669,1.060013,0.767865,0.863052
540.0,1.000000,1.135961,1.060953,0.768810,0.859903
550.0,1.000000,1.139016,1.060176,0.768327,0.852703
560.0,1.000000,1.142067,1.059399,0.767845,0.852539
570.0,1.000000,1.140885,1.058663,0.768805,0.862767
580.0,1.000000,1.139232,1.057931,0.769926,0.861543
590.0,1.000000,1.137442,1.057154,0.774299,0.856623
600.0,1.000000,1.135344,1.056279,0.786244,0.843541
610.0,1.000000,1.133249,1.055404,0.798171,0.838472
620.0,1.000000,1.131572,1.049816,0.822602,0.837743
630.0,1.000000,1.130172,1.041098,0.855322,0.833788
640.0,1.000000,1.128777,1.032400,0.887976,0.834050
650.0,1.000000,1.153704,1.104211,0.935808,0.849066
660.0,1.000000,1.182999,1.189150,0.987895,0.869581
670.0,1.000000,1.206774,1.260509,1.034884,0.884861
680.0,1.000000,1.202601,1.260509,1.051029,0.883294
690.0,1.000000,1.198426,1.260509,1.067175,0.883613
700.0,1.000000,1.189510,1.159603,1.063900,0.878428
710.0,1.000000,1.177434,0.991428,1.047681,0.874129
720.0,1.000000,1.165357,0.823253,1.031461,0.866382
730.0,1.000000,1.170460,0.814410,1.040805,0.888922
740.0,1.000000,1.177631,0.823474,1.053268,0.902322
750.0,1.000000,1.185784,0.833187,1.066034,0.909690
760.0,1.000000,1.197401,0.844871,1.079111,0.902655
770.0,1.000000,1.209310,0.856848,1.092514,0.903905
780.0,1.000000,1.222452,0.875043,1.105822,0.910827
790.0,1.000000,1.236556,0.897698,1.119173,0.919775
800.0,1.000000,1.251027,0.920937,1.132870,0.928080
810.0,1.000000,1.265201,0.937645,1.146926,0.945747
820.0,1.000000,1.279673,0.953991,1.161354,0.956083
830.0,1.000000,1.291034,0.967658,1.173257,0.969003
840.0,1.000000,1.288570,0.969033,1.173682,0.959346
850.0,1.000000,1.286105,0.970405,1.174104,0.951244
860.0,1.000000,1.282159,0.989627,1.177433,0.948605
870.0,1.000000,1.277219,1.020748,1.182696,0.950771
880.0,1.000000,1.272279,1.051867,1.187960,0.949519
890.0,1.000000,1.274660,1.191936,1.204962,0.947923
900.0,1.000000,1.277904,1.346481,1.223553,0.953774
910.0,1.000000,1.280210,1.431529,1.238051,0.961294
920.0,1.000000,1.278568,1.228910,1.235051,0.962516
930.0,1.000000,1.276919,1.025465,1.232041,0.960868
940.0,1.000000,1.275198,0.955068,1.222401,0.956982
950.0,1.000000,1.273410,1.018351,1.206139,0.950854
960.0,1.000000,1.271622,1.081649,1.189872,0.955685
970.0,1.000000,1.273405,1.079497,1.189365,0.965434
980.0,1.000000,1.275591,1.070042,1.190614,0.971311
990.0,1.000000,1.277916,1.062801,1.192616,0.961605
1000.0,1.000000,1.280775,1.064537,1.197621,0.955322
1010.0,1.000000,1.283654,1.066284,1.202656,0.954366
1020.0,1.000000,1.291831,1.071185,1.211550,0.962208
