P2P_Bandwidth_Gbps,DDP_s,LocalAdam_s,DES_LOC_s,FAVG_OPT_s,Neuron_SP_s,ZeROpp_75pct_s,DS_AR_opt_75pct_1.2x_s,DS_MoE_91pct_3.2x_s,LocalSGD_K16_93.8pct_s,SlowMo_K12_91.7pct_s,BytePS_TopK_99.9pct_s,JAX_SPMD_50pct_1.15x_s,Flux_overlap_0pct_1.25x_s
3.000000e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.9675e+10,6.9675e+10,2.5083e+10,1.7419e+10,2.3132e+10,2.7892e+08,1.3935e+11,2.7870e+11
3.029600e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.8994e+10,6.8994e+10,2.4838e+10,1.7249e+10,2.2906e+10,2.7620e+08,1.3799e+11,2.7598e+11
3.059500e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.8320e+10,6.8320e+10,2.4595e+10,1.7080e+10,2.2682e+10,2.7350e+08,1.3664e+11,2.7328e+11
3.089700e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.7652e+10,6.7652e+10,2.4355e+10,1.6913e+10,2.2461e+10,2.7083e+08,1.3530e+11,2.7061e+11
3.120200e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.6991e+10,6.6991e+10,2.4117e+10,1.6748e+10,2.2241e+10,2.6818e+08,1.3398e+11,2.6796e+11
3.150900e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.6338e+10,6.6338e+10,2.3882e+10,1.6585e+10,2.2024e+10,2.6557e+08,1.3268e+11,2.6535e+11
3.182000e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.5690e+10,6.5690e+10,2.3648e+10,1.6423e+10,2.1809e+10,2.6298e+08,1.3138e+11,2.6276e+11
3.213400e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.5048e+10,6.5048e+10,2.3417e+10,1.6262e+10,2.1596e+10,2.6041e+08,1.3010e+11,2.6019e+11
3.245100e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.4413e+10,6.4413e+10,2.3189e+10,1.6103e+10,2.1385e+10,2.5787e+08,1.2883e+11,2.5765e+11
3.277100e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.3784e+10,6.3784e+10,2.2962e+10,1.5946e+10,2.1176e+10,2.5536e+08,1.2757e+11,2.5513e+11
3.309500e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.3159e+10,6.3159e+10,2.2737e+10,1.5790e+10,2.0969e+10,2.5286e+08,1.2632e+11,2.5264e+11
3.342100e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.2543e+10,6.2543e+10,2.2516e+10,1.5636e+10,2.0764e+10,2.5039e+08,1.2509e+11,2.5017e+11
3.375100e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.1932e+10,6.1932e+10,2.2295e+10,1.5483e+10,2.0561e+10,2.4795e+08,1.2386e+11,2.4773e+11
3.408400e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.1327e+10,6.1327e+10,2.2078e+10,1.5332e+10,2.0361e+10,2.4553e+08,1.2265e+11,2.4531e+11
3.442000e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.0728e+10,6.0728e+10,2.1862e+10,1.5182e+10,2.0162e+10,2.4313e+08,1.2146e+11,2.4291e+11
3.476000e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,6.0134e+10,6.0134e+10,2.1648e+10,1.5034e+10,1.9965e+10,2.4076e+08,1.2027e+11,2.4054e+11
3.510300e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,5.9546e+10,5.9546e+10,2.1437e+10,1.4887e+10,1.9770e+10,2.3841e+08,1.1909e+11,2.3818e+11
3.544900e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,5.8965e+10,5.8965e+10,2.1227e+10,1.4741e+10,1.9577e+10,2.3608e+08,1.1793e+11,2.3586e+11
3.579900e-04,2.0218e+11,2.3688e+09,1.1879e+09,1.1879e+09,6.6585e+08,5.8389e+10,5.8389e+10,2.1020e+10,1.4597e+10,1.9385e+10,2.3377e+08,1.1678e+11,2.3355e+11
